Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
"v0.2.3/Title",8977254821888,"v0.2.3","v0.2.3","v0.2.3","v0.2.3"
"v0.2.3/Desc",8980845146112,"- An automatic reporting system has been added to detect crashes/serious errors during gameplay.
- A system has been added to display a pop-up window with details in case of an error.
- A warning message has been added indicating that the game is in BETA phase.
- For the Android version, a resolution adjustment option has been added to help optimize the game.
- LOD (Level of Detail) system has been implemented to improve performance.
- A help text has been added in level 1.
- A new object has been added to the desktop in level 1.
- Adjustments have been made to the lighting in the levels.
- Certain functions have been changed for better performance.
- The volume of Foxy has been increased.
- The old ERabbitGames logo has been replaced with the new one.
- The title of the main menu has been improved.
- The PC and Android projects have been merged for better development.
- The difficulty of level 1 has been increased, with Foxy appearing more frequently.
- Some scripts have been optimized.
- The size of PC buttons in level 1 has been increased.
- The speed of the static effect during Game Over has been increased.
- The time it takes for Springtrap to perform its jumpscare has been reduced.
- The required distance to obtain the Mangle Easter Egg has been reduced.
- An error that allowed multiple batteries to be loaded at once in level 1 has been fixed.
- An error that caused the fan to disappear when triggering Game Over in level 1 has been fixed.
- Part of Mangle's model has been fixed.
- Cuts/stutters in cinematics have been resolved.
- The camera misplacement issue during Mangle's jumpscare has been fixed.
- Colors in cinematics have been corrected.
- An error that caused Foxy to disappear immediately after his jumpscare has been fixed.","- Um sistema automático de relatórios foi adicionado para detectar falhas/erros graves durante o jogo.
- Um sistema foi adicionado para exibir uma janela pop-up com detalhes em caso de erro.
- Uma mensagem de aviso foi adicionada indicando que o jogo está na fase BETA.
- Para a versão Android, foi adicionada uma opção de ajuste de resolução para ajudar a otimizar o jogo.
- Um sistema LOD (Level of Detail) foi implementado para melhorar o desempenho.
- Um texto de ajuda foi adicionado no nível 1.
- Um novo objeto foi adicionado à mesa no nível 1.
- Ajustes foram feitos na iluminação nos níveis.
- Certas funções foram alteradas para melhor desempenho.
- O volume do Foxy foi aumentado.
- O antigo logotipo da ERabbitGames foi substituído pelo novo.
- O título do menu principal foi melhorado.
- Os projetos de PC e Android foram mesclados para melhor desenvolvimento.
- A dificuldade do nível 1 foi aumentada, com o Foxy aparecendo com mais frequência.
- Alguns scripts foram otimizados.
- O tamanho dos botões de PC no nível 1 foi aumentado.
- A velocidade do efeito estático durante o Game Over foi aumentada.
- O tempo que o Springtrap leva para executar seu susto foi reduzido.
- A distância necessária para obter o Easter Egg da Mangle foi reduzida.
- Um erro que permitia carregar várias baterias de uma vez no nível 1 foi corrigido.
- Um erro que fazia o ventilador desaparecer ao acionar o Game Over no nível 1 foi corrigido.
- Parte do modelo da Mangle foi corrigida.
- Cortes/travamentos nas cinemáticas foram resolvidos.
- O problema de deslocamento da câmera durante o susto da Mangle foi corrigido.
- As cores nas cinemáticas foram corrigidas.
- Um erro que fazia o Foxy desaparecer imediatamente após o seu susto foi corrigido.",,"- Se ha agregado un sistema de informes automático para detectar bloqueos/errores graves durante el juego.
- Se ha añadido un sistema para mostrar una ventana emergente con detalles en caso de error.
- Se ha agregado un mensaje de advertencia que indica que el juego se encuentra en fase BETA.
- Para la versión de Android, se ha agregado una opción de ajuste de resolución para ayudar a optimizar el juego.
- Se ha implementado un sistema LOD (Nivel de Detalle) para mejorar el rendimiento.
- Se ha agregado un texto de ayuda en el nivel 1.
- Se ha añadido un nuevo objeto al escritorio en el nivel 1.
- Se han realizado ajustes en la iluminación de los niveles.
- Se han modificado ciertas funciones para obtener un mejor rendimiento.
- Se ha aumentado el volumen de Foxy.
- El antiguo logotipo de ERabbitGames se ha reemplazado por uno nuevo.
- Se ha mejorado el título del menú principal.
- Los proyectos de PC y Android se han fusionado para un mejor desarrollo.
- Se ha aumentado la dificultad del nivel 1, con la aparición más frecuente de Foxy.
- Se han optimizado algunos scripts.
- Se ha aumentado el tamaño de los botones de PC en el nivel 1.
- Se ha aumentado la velocidad del efecto estático durante el Game Over.
- Se ha reducido el tiempo que tarda Springtrap en realizar su susto repentino.
- Se ha reducido la distancia requerida para obtener el Huevo de Pascua de Mangle.
- Se ha corregido un error que permitía cargar varias baterías a la vez en el nivel 1.
- Se ha solucionado un error que hacía que el ventilador desapareciera al activar el Game Over en el nivel 1.
- Se ha corregido una parte del modelo de Mangle.
- Se han resuelto los cortes/interferencias en las cinemáticas.
- Se ha solucionado el problema de desplazamiento de la cámara durante el susto repentino de Mangle.
- Se han corregido los colores en las cinemáticas.
- Se ha corregido un error que hacía que Foxy desapareciera inmediatamente después de su susto repentino."
"v0.2.4/Title",8988164206592,"v0.2.4","v0.2.4","v0.2.4","v0.2.4"
"v0.2.4/Desc",8991372849152,"- The fan in level 1 will now start in the ""on"" state when you begin playing.
- Added an option in the settings to switch the game graphics from ""Medium"" to ""Low"" on Android. This is intended for users with lower-end devices.
- Lowered the volume of Springtrap's electrocution sound.
- Decreased the background sound of Springtrap.
- Changed Foxy's sound from 3D to 2D for improved comfort.
- Improved the timing of the animatronics, making each one independent with its own moment to act.
- Readjusted the difficulty of Foxy.
- Fine-tuned the lighting in level 2.
- Increased the sound volume of Mangle and its clone.
- Fixed the error that occurred at the start of level 1. We believe it was related to the color format, and now we use a more compatible one.
- Fixed an issue that caused animations to become static.
- Resolved an error that prevented batteries from being charged.
- Improved Mangle's animation when emerging from the shadows, making it smoother.
- Fixed Mangle's animation when being dazzled, now it progresses based on the distance covered.
- Fixed a problem where the footsteps of Mangle's clone were not audible.
- Corrected Mangle's textures for a better visual appearance.","- O ventilador no nível 1 agora começará no estado ""ligado"" quando você começar a jogar.
- Adicionada uma opção nas configurações para alternar os gráficos do jogo de ""Médio"" para ""Baixo"" no Android. Isso é destinado a usuários com dispositivos de menor desempenho.
- Reduzido o volume do som de eletrocussão do Springtrap.
- Diminuído o som de fundo do Springtrap.
- Alterado o som do Foxy de 3D para 2D para maior conforto.
- Melhorado o tempo dos animatrônicos, tornando cada um independente com seu próprio momento para agir.
- Reajustada a dificuldade do Foxy.
- Ajustada finamente a iluminação no nível 2.
- Aumentado o volume do som da Mangle e seu clone.
- Corrigido o erro que ocorria no início do nível 1. Acreditamos que estava relacionado ao formato de cor, e agora usamos um mais compatível.
- Corrigido um problema que fazia com que as animações ficassem estáticas.
- Resolvido um erro que impedia as baterias de serem carregadas.
- Melhorada a animação da Mangle ao emergir das sombras, tornando-a mais suave.
- Corrigida a animação da Mangle ao ser atordoada, agora ela progride com base na distância percorrida.
- Corrigido um problema em que os passos do clone da Mangle não eram audíveis.
- Corrigidas as texturas da Mangle para uma melhor aparência visual.",,"- El ventilador en el nivel 1 ahora comenzará en el estado ""encendido"" cuando comiences a jugar.
- Se agregó una opción en la configuración para cambiar los gráficos del juego de ""Medio"" a ""Bajo"" en Android. Esto está destinado a usuarios con dispositivos de gama baja.
- Se redujo el volumen del sonido de electrocución de Springtrap.
- Se disminuyó el sonido de fondo de Springtrap.
- Se cambió el sonido de Foxy de 3D a 2D para mayor comodidad.
- Se mejoró el momento en que aparecen los animatrónicos, haciendo que cada uno actúe de manera independiente en su propio momento.
- Se reajustó la dificultad de Foxy.
- Se ajustó la iluminación del nivel 2.
- Se aumentó el volumen del sonido de Mangle y su clon.
- Se corrigió el error que ocurría al iniciar el nivel 1. Creemos que estaba relacionado con el formato de color, y ahora utilizamos uno más compatible.
- Se solucionó un problema que hacía que las animaciones se quedaran estáticas.
- Se resolvió un error que impedía que las baterías se cargaran.
- Se mejoró la animación de Mangle al surgir de las sombras, haciéndola más fluida.
- Se corrigió la animación de Mangle al ser deslumbrado, ahora avanza según la distancia recorrida.
- Se solucionó un problema donde no se escuchaban los pasos del clon de Mangle.
- Se corrigieron las texturas de Mangle para una mejor apariencia visual."
"v0.3/Title",10196148924416,"v0.3","v0.3","v0.3","v0.3"
"v0.3/Desc",10198661312512,"- Level 3 has been added, please note that it is not 100% developed.
- A new introduction for our logo has been added.
- A new window has been added to view the list of changes in this version.
- A notice has been added that will appear when an outdated version is detected.
- The Easter Egg system for level 2 has been changed, and it will now be much more accurate.
- The cutscenes have been optimized to avoid interruptions.
- The size of the buttons on the PC in level 1 has been increased.
- The system for the bars has been changed, and they will now unlock as you complete them.
- The buttons to flash and move in level 1 will temporarily disappear until the animation is finished.
- The Easter Egg in level 1 on PC is now activated in the same way as on Android.
- The button to exit the hiding spot will disappear while Foxy is searching in level 1.
- The sound of Foxy in level 1 has been changed.
- The phone will no longer turn off during any cutscenes.
- Fixed a bug that caused some animations not to run.
- Fixed a bug that prevented the battery buttons from being pressed.
- Fixed a bug that caused the settings not to apply correctly.
- Fixed several errors that caused crashes.","- Adicionado o Nível 3, observe que ainda não está 100% desenvolvido.
- Uma nova introdução para o nosso logotipo foi adicionada.
- Uma nova janela foi incluída para visualizar a lista de alterações nesta versão.
- Foi adicionado um aviso que aparecerá quando for detectada uma versão desatualizada.
- O sistema de Easter Egg para o nível 2 foi alterado e agora será muito mais preciso.
- As cenas foram otimizadas para evitar interrupções.
- O tamanho dos botões no PC no nível 1 foi aumentado.
- O sistema para as barras foi alterado, e agora elas serão desbloqueadas conforme você as completa.
- Os botões para flash e mover no nível 1 no PC desaparecerão temporariamente até que a animação seja concluída.
- O Easter Egg no nível 1 no PC agora é ativado da mesma forma que no Android.
- O botão para sair do esconderijo desaparecerá enquanto o Foxy estiver procurando no nível 1.
- O som do Foxy no nível 1 foi alterado.
- O telefone não será desligado durante nenhuma cena.
- Corrigido um bug que impedia a execução de algumas animações.
- Corrigido um bug que impedia que os botões da bateria fossem pressionados.
- Corrigido um bug que fazia com que as configurações não fossem aplicadas corretamente.
- Corrigidos vários erros que causavam crashes.",,"- Se ha añadido el nivel 3, tened en cuenta que no está desarrollado al 100%.
- Se ha añadido una nueva introducción de nuestro logotipo.
- Se ha añadido una nueva ventana para ver la lista de cambios que tiene la versión.
- Se ha añadido un aviso el cual aparecerá al detectar que tienes una versión desactualizada.
- Se ha cambiado el sistema del Easter Egg del nivel 2, ahora será muchísimo más preciso.
- Se ha optimizado las cinámicas para evitar cortes.
- Se ha aumentado el tamaño de los botones del PC del nivel 1.
- Se ha cambiado el sistema de las barras, ahora se irán desbloqueando conforme las completes.
- Se ha hecho que los botones para deslumbrar y moverse del nivel 1 desaparecerán temporalmente hasta que se termine de ejecutar la animación.
- Se ha hecho que el Easter Egg del nivel 1 en PC se activa de la misma manera que en Android.
- Se ha hecho que mientras Foxy esté buscando en el nivel 1 desaparezca el botón para salir del escondite.
- Se ha cambiado el sonido de Foxy en el nivel 1.
- Ahora el teléfono no se apagará durante alguna cinemática.
- Arreglado bug que provocaba que no se ejecutaran algunas animaciones.
- Arreglado bug que provocaba que los botones de las baterías no se pudieran pulsar.
- Arreglado bug que provocaba que no se aplicara bien la configuración.
- Arreglado varios errores que provocaban crasheos."
"v0.3.1/Title",10204940185600,"v0.3.1","v0.3.1","v0.3.1","v0.3.1"
"v0.3.1/Desc",10208362737664,"- Added level 3 cinematics.
- Added Easter Egg to level 3.
- Added a surprise for people who complete the BETA with all Easter Eggs from each level (There's only one per level).
- Added an achievements system, currently, there's only one available, but in the next update, we'll add more, and in the final game, many more.
- Added compatibility with Google Play (Android only).
- Added tutorial to level 2.
- Added tutorial to level 3.
- Added sound to the ERabbitGames introduction.
- Added new Game Over screens.
- Added a progress bar in level 3.
- Removed compatibility with the Vulkan API, as we were experiencing several crashes due to the API itself. We'll try to add it again later, but for now, we'll stick to OpenGL.
- Improved the aiming system for the flashlight in level 3 on Android; now the light will point a bit higher than the finger for better comfort.
- Some people complain that they can't hear the sound of Mangle's clone. We have tested it with testers, and all of them can differentiate the sound. We recommend increasing the game volume on your device and in the ""Settings"" menu. If the problem persists, we'll replace the sound of Mangle's clone.
- Now you can skip the introduction and warning message by clicking or tapping the screen.
- Optimized the game overall, it should now perform much better and take up less space. This has caused a slight decrease in quality, but we're working on a ""High"" graphics option for Android users, which will be available in the next update.
- Updated the game to Unity 2022 for better compatibility and stability (Hopefully, there will be fewer crashes).
- Organized the main menu for better convenience.
- Improved level loading times.
- Adjusted the color of button texts.
- Fixed compatibility with emulators; now you can play comfortably on Android emulators.
- Fixed the intensity of the light when Foxy passes by on the right in level 1.
- Fixed cinematics, hope they work fine now T_T.
- Fixed an error that caused level 2 to take you back to the main menu when completed.
- Fixed sound issues in the cinematics.","- Adicionadas cinemáticas para o nível 3.
- Adicionado Easter Egg para o nível 3.
- Adicionada uma surpresa para as pessoas que completarem a versão BETA com todos os Easter Eggs de cada nível (Há apenas um por nível).
- Adicionado sistema de conquistas, atualmente, há apenas uma disponível, mas na próxima atualização, adicionaremos mais, e no jogo final, muitas mais.
- Adicionada compatibilidade com o Google Play (apenas Android).
- Adicionado tutorial para o nível 2.
- Adicionado tutorial para o nível 3.
- Adicionado som à introdução da ERabbitGames.
- Adicionadas novas telas de Game Over.
- Adicionada uma barra de progresso no nível 3.
- Removida a compatibilidade com a API Vulkan, pois estávamos enfrentando vários crashes devido à própria API. Tentaremos adicioná-la novamente mais tarde, mas por enquanto, vamos nos manter ao OpenGL.
- Melhorado o sistema de mira para a lanterna no nível 3 no Android; agora a luz apontará um pouco mais alto que o dedo para maior conforto.
- Algumas pessoas reclamaram que não conseguiram ouvir o som do clone da Mangle. Testamos com testadores, e todos eles conseguiram diferenciar o som. Recomendamos aumentar o volume do jogo no seu dispositivo e no menu ""Configurações"". Se o problema persistir, substituiremos o som do clone da Mangle.
- Agora você pode pular a introdução e a mensagem de aviso clicando ou tocando na tela.
- Otimizado o jogo como um todo, agora deve funcionar muito melhor e ocupar menos espaço. Isso causou uma leve diminuição na qualidade, mas estamos trabalhando em uma opção de gráficos ""Alto"" para usuários de Android, que estará disponível na próxima atualização.
- Atualizado o jogo para Unity 2022 para melhor compatibilidade e estabilidade (esperamos que haja menos crashes).
- Organizado o menu principal para maior conveniência.
- Melhorados os tempos de carregamento dos níveis.
- Ajustada a cor dos textos dos botões.
- Corrigida a compatibilidade com emuladores; agora você pode jogar confortavelmente em emuladores Android.
- Corrigida a intensidade da luz quando o Foxy passa pela direita no nível 1.
- Corrigidas as cinemáticas, esperamos que funcionem bem agora T_T.
- Corrigido um erro que fazia o nível 2 te levar de volta ao menu principal quando concluído.
- Corrigidos problemas de som nas cinemáticas.",,"- Añadida cinemática del nivel 3.
- Añadido Easter Egg al nivel 3.
- Añadida sorpresa para la gente que se pase la BETA con todos los Easter Egg de cada nivel completados (Solo hay uno por nivel).
- Añadido sistema de logros, por ahora solo hay uno disponible, pero en la próxima actualización añadiremos más y en el juego final aún muchos más.
- Añadido sistema de compatibilidad con Google Play (Solo para Android).
- Añadido tutorial al nivel 2.
- Añadido tutorial al nivel 3.
- Añadido sonido a la introducción de ERabbitGames.
- Añadido nuevas pantallas de Game Over.
- Añadida barra de progreso en el nivel 3.
- Quitada compatibilidad con la API Vulkan, ya que estábamos registrando bastantes crasheos por culpa de la propia API. Más adelante intentaremos volver a añadir, pero por ahora vamos a probar solo con la de OpenGL.
- Se ha mejorado el sistema de apuntado de la linterna del nivel 3 en Android, ahora la luz apuntará un poco más arriba del dedo para una mejor comodidad.
- Hay gente que se queja de que el sonido del clon de Mangle no se escucha, hemos estado haciendo pruebas con tester y todos consiguen diferencial el sonido. Recomendamos subir el volumen al juego tanto del dispositivo como en el menú de ""Ajustes"". Si vemos que el problema persiste, sustituiremos el sonido del clon de Mangle.
- Ahora puedes omitir la introducción y el mensaje de advertencia haciendo clic o tocando la pantalla.
- Se ha optimizado el juego de manera general, ahora debería tener mucho mejor rendimiento y ocupar menos espacio. Esto ha provocado un pequeño bajón de calidad, pero estamos trabajando en una opción gráfica ""Alta"" para los usuarios de Android, esta llegará en la próxima actualización.
- Se ha actualizado el juego a Unity 2022 para una mejor compatibilidad y estabilidad (Esperamos que haya menos crasheos).
- Se ha organizado un poco el menú principal para una mejor comodidad.
- Se ha mejorado el tiempo de carga de los niveles.
- Se ha ajustado el color de los textos de los botones.
- Arreglada compatibilidad con emuladores, ya podéis jugar tranquilamente en emuladores de Android.
- Arreglada intensidad de la luz a la hora de que Foxy pasa por la derecha en el nivel 1.
- Arregladas cinemáticas, espero que ahora vayan bien T_T.
- Arreglado error que provocaba que cuando te pasas el nivel 2 este te saca al menú principal.
- Arreglado sonido de las cinemáticas."
"v0.3.2/Title",10210644439040,"v0.3.2","v0.3.2","v0.3.2","v0.3.2"
"v0.3.2/Desc",10213194575872,"- Fixed an error that was causing progress not to be saved or loaded correctly.","- Corrigido um erro que estava impedindo o progresso de ser salvo ou carregado corretamente.",,"- Arreglado error que provocaba que no se guardara ni cargara el progreso correctamente."
"v0.3.3/Title",10215677603840,"v0.3.3","v0.3.3","v0.3.3","v0.3.3"
"v0.3.3/Desc",10218026414080,"- Added new animations to level 3, including hands of David holding, storing, or taking out the flashlight. Additionally, when you blind Chica, there will be an animation as if the flashlight is getting electrocuted.
- Added new short-circuit particles when blinding Chica in level 3.
- Added a notification panel when unlocking achievements during the game.
- Introduced new achievements. Please note that these are not available on Google Play as they are temporary for the BETA and currently lack images. Therefore, a ""?"" will appear when you unlock them.
- Included a small Easter Egg in level 1.
- Improved animation for forcing the door in level 3.
- Updated plugins.
- Retrieved the paper from the cup in level 1.
- Enhanced sound latency.
- Slightly improved game lighting quality.
- Enabled FXAA Anti-Aliasing for Android at ""Medium"" quality.
- Technically changed the settings saving mode for better compatibility.
- Reduced game size on Android.
- Reduced game size on PC.
- Compressed textures using an algorithm for better in-game performance.
- Adjusted certain Unity settings to hopefully reduce the number of crashes on Android.
- Re-exported some textures with better quality, including those in level 3.
- Re-exported all cinematics with a new encoder, aiming to eliminate slowdowns. T_T
- Implemented various code optimizations for improved performance.
- Fixed Chica's audio in level 3; it will now be properly synchronized with the animation.
- Rectified emissive issues on the robots, as they were incorrectly displayed through certain parts of the model.
- Fixed an error preventing the Sentry API from monitoring crashes and errors.
- Resolved an error causing a ""NullException"" when checking the game version without an internet connection.
- Fixed ""popping"" of certain textures.","- Adicionadas novas animações ao nível 3, incluindo mãos de David segurando, guardando ou tirando a lanterna. Além disso, quando você cega a Chica, haverá uma animação como se a lanterna estivesse sendo eletrocutada.
- Adicionadas novas partículas de curto-circuito ao cegar a Chica no nível 3.
- Adicionado um painel de notificação ao desbloquear conquistas durante o jogo.
- Introduzidas novas conquistas. Por favor, note que elas não estão disponíveis no Google Play, pois são temporárias para a versão BETA e atualmente não possuem imagens. Portanto, um ""?"" aparecerá quando você as desbloquear.
- Incluído um pequeno Easter Egg no nível 1.
- Melhorada a animação para forçar a porta no nível 3.
- Plugins atualizados.
- Recuperado o papel do copo no nível 1.
- Melhorada a latência do som.
- Melhorada ligeiramente a qualidade da iluminação do jogo.
- Habilitado o Anti-Aliasing FXAA para Android com qualidade ""Média"".
- Tecnicamente alterado o modo de salvamento de configurações para melhor compatibilidade.
- Reduzido o tamanho do jogo no Android.
- Reduzido o tamanho do jogo no PC.
- Texturas comprimidas usando um algoritmo para melhor desempenho no jogo.
- Ajustadas algumas configurações do Unity na esperança de reduzir o número de crashes no Android.
- Reexportadas algumas texturas com melhor qualidade, incluindo aquelas no nível 3.
- Reexportadas todas as cinemáticas com um novo codificador, com o objetivo de eliminar lentidões. T_T
- Implementadas várias otimizações de código para melhor desempenho.
- Corrigido o áudio da Chica no nível 3; agora estará devidamente sincronizado com a animação.
- Corrigidos problemas de emissão nos robôs, pois estavam sendo exibidos incorretamente através de certas partes do modelo.
- Corrigido um erro que impedia o Sentry API de monitorar crashes e erros.
- Resolvido um erro que causava um ""NullException"" ao verificar a versão do jogo sem conexão com a internet.
- Corrigido o ""popping"" de certas texturas.",,"- Añadido nuevas animaciones al nivel 3 entre ellas, ahora se verá las manos de David agarrando la linterna, guardándola, o sacándola, también cuando deslumbras a Chica hará una animación como que la linterna se electrocuta.
- Añadido nuevas partículas de cortocircuito al deslumbrar a Chica en el nivel 3.
- Añadido panel de notificación cuando desbloqueas algún logro durante la partida.
- Añadidos nuevos logros. Tened en cuenta que estos no están en Google Play debido a que son temporales de la BETA y aún no tienen imagen, así que saldrá un ""?"" cuando lo desbloqueéis.
- Añadido pequeño Easter Egg en el nivel 1.
- Mejorada animación de forzar la puerta del nivel 3.
- Actualizado plugins.
- Recuperado papel de la taza en el nivel 1.
- Se ha mejorado la latencia del sonido.
- Se ha mejorado ligeramente la calidad de las luces del juego.
- Se ha habilitado el Anti-Aliasing FXAA para Android en la calidad ""Media"".
- Se ha cambiado a nivel técnico el modo de guardado de los ajustes para una mejor compatibilidad.
- Se ha reducido el tamaño del juego en Android.
- Se ha reducido el tamaño del juego en PC.
- Se han comprimido las texturas con un algoritmo el cual da un mejor rendimiento a la hora de jugar.
- Se han cambiado ciertas configuraciones de Unity, las cuales esperamos que reduzca el número de crasheos en Android.
- Se han reexportado algunas texturas con mejor calidad, entre ellas las del nivel 3.
- Se han reexportado todas las cinemáticas con un nuevo codificador, esperamos que ahora no se ralenticen. T_T
- Se han hecho diversas optimizaciones a nivel de código para un mejor rendimiento.
- Se ha arreglado el audio de Chica en el nivel 3, ahora estará bien sincronizado con la animación.
- Se han arreglado los emisivos de los robots, ya que se mostraban a través de ciertas partes del modelo de forma incorrecta.
- Se ha arreglado un error que provocaba que la API de Sentry no pudiera monitorizar los crasheos y errores.
- Arreglado error que provocaba un ""NullException"" a la hora de comprobar la versión del juego y no tener conexión a internet.
- Arreglado ""popping"" de ciertas texturas."
"v0.3.4/Title",11104844886016,"v0.3.4","v0.3.4","v0.3.4","v0.3.4"
"v0.3.4/Desc",11107764121600,"- Added ""High"" graphics quality option on Android.
- Added system to obtain diagnostics about the game's performance on Android.
- Reduced Post Processing quality for ""Medium"" graphics quality.
- Fixed false positive alert.
- Fixed a minor error with the ""Fade"" transition.
- Fixed crashing on Adreno GPU (Or so we believe...).
- Fixed error when setting a standard resolution on Windows 7.","- Adicionada opção de qualidade gráfica ""Alto"" no Android.
- Adicionado sistema para obter diagnósticos sobre o desempenho do jogo no Android.
- Reduzida a qualidade de Pós-processamento para a opção de qualidade gráfica ""Médio"".
- Corrigido alerta falso positivo.
- Corrigido um erro menor com a transição ""Fade"".
- Corrigido o travamento em GPUs Adreno (Pelo menos, acreditamos que sim...).
- Corrigido erro ao definir uma resolução padrão no Windows 7.",,"- Añadida opción de calidad gráfica ""Alta"" en Android.
- Añadido sistema para obtener diagnósticos sobre el rendimiento del juego en Android.
- Se ha reducido la calidad del Post Procesado de la calidad gráfica ""Media"".
- Arreglado alerta de falso positivo.
- Arreglado un pequeño error con la transición ""Fade"".
- Arreglado crasheo en GPU Aderno (O eso creemos...).
- Arreglado error al poner una resolución estándar en Windows 7."
"v0.3.5/Title",11111924871168,"v0.3.5","v0.3.5","v0.3.5","v0.3.5"
"v0.3.5/Desc",11114508562432,"- A menu has been added to select a level you have completed.
- An ""Ultra"" graphical option has been added for PC.
- A button has been added to open our Ko-Fi in main menu and the credits in case you want to make a donation.
- Optimized all models, textures, animations, and sounds.
- Optimized file size.
- The game will no longer load the ""Pre Main Menu"" but will go directly to the ""Main Menu"".
- The game will now detect if the player has found any ""Easter Eggs"" and will warn them that clicking ""New Game"" will reset all progress.
- Settings are now loaded immediately upon starting the game.
- The rarest achievements will now appear first in the achievements menu.
- The game will now unload unnecessary assets when loading a level.
- Clicking ""New Game"" will now reset the ""Easter Eggs"".
- The credits menu has been changed.
- The position of the level 3 flashlight on Android has been adjusted.
- The lighting color has been improved.
- All texture encoding has been changed to ETC2 for better compatibility on Android.
- The textures for the golden versions have been completely changed.
- Cinematic quality on Android has been improved.
- Reduced game's RAM, CPU, and GPU consumption.
- The ""Screen Scaling"" option has been removed since we have a configuration for each quality on Android.
- The buttons on the main menu have been reorganized.
- Unnecessary files, garbage, and plugins have been removed.
- Loading screen tips have been removed.
- Loading screens have been changed.
- Emissive textures have been enabled for Android.
- The player's camera position has been readjusted in some ""Jumpscares"".
- Fixed an error that caused the game to crash when clicking ""New Game"".
- Fixed an error that prevented settings from being applied correctly.
- Fixed an error that caused a small distortion after finishing a sound.
- Fixed an error when checking for the latest version.
- Fixed interactions with the level 1 poles that could be touched during the cinematic.","- Um menu foi adicionado para selecionar um nível que você tenha completado.
- Uma opção gráfica ""Ultra"" foi adicionada para PC.
- Um botão foi adicionado para abrir nosso Ko-Fi no menu principal e os créditos caso você queira fazer uma doação.
- Todos os modelos, texturas, animações e sons foram otimizados.
- Tamanho do arquivo otimizado.
- O jogo não carregará mais o ""Pré Menu Principal"", mas irá diretamente para o ""Menu Principal"".
- O jogo agora detectará se o jogador encontrou algum ""Easter Egg"" e os alertará que clicar em ""Novo Jogo"" redefinirá todo o progresso.
- As configurações agora são carregadas imediatamente ao iniciar o jogo.
- As conquistas mais raras agora aparecerão primeiro no menu de conquistas.
- O jogo agora descarregará ativos desnecessários ao carregar um nível.
- Clicar em ""Novo Jogo"" agora redefinirá os ""Easter Eggs"".
- O menu de créditos foi alterado.
- A posição da lanterna do nível 3 no Android foi ajustada.
- A cor da iluminação foi melhorada.
- Todas as texturas foram codificadas para ETC2 para melhor compatibilidade no Android.
- As texturas das versões douradas foram completamente alteradas.
- A qualidade cinematográfica no Android foi melhorada.
- Reduzido o consumo de RAM, CPU e GPU do jogo.
- A opção de ""Dimensionamento de Tela"" foi removida, pois temos uma configuração para cada qualidade no Android.
- Os botões no menu principal foram reorganizados.
- Arquivos desnecessários, lixo e plugins foram removidos.
- Dicas de tela de carregamento foram removidas.
- As telas de carregamento foram alteradas.
- Texturas emissivas foram habilitadas para Android.
- A posição da câmera do jogador foi readaptada em alguns ""Jumpscares"".
- Corrigido um erro que fazia o jogo travar ao clicar em ""Novo Jogo"".
- Corrigido um erro que impedia as configurações de serem aplicadas corretamente.
- Corrigido um erro que causava uma pequena distorção após terminar um som.
- Corrigido um erro ao verificar a versão mais recente.
- Corrigidas as interações com os postes do nível 1 que podiam ser tocados durante a cinemática.",,"- Se ha añadido un menú para seleccionar un nivel que hayas completado.
- Se ha añadido una opción gráfica ""Ultra"" para PC.
- Se ha añadido un botón para abrir nuestro Ko-Fi en el menu principal y en los créditos por si nos queréis hacer una donación.
- Optimizado todos los modelos, texturas, animaciones y sonidos.
- Optimizado tamaño de los archivos.
- El juego ya no cargará el ""Pre Main Menu"" sino que irá directo al ""Menu Princiapl"".
- El juego ahora detectará si el jugador ha hecho algún ""Easter Egg"" y le avisará que al dar clic en ""Nueva Partida"" se restablecerá todo el progreso.
- Ahora los ajustes se cargan nada más iniciar el juego.
- Ahora los logros más raros aparecerán primero en el menú de logros.
- Ahora el juego descargará los ""Assets"" innecesarios al cargar algún nivel.
- Ahora, al darle a ""Nueva Partida"" reiniciará los ""Easter Eggs"".
- Se ha cambiado el menú de los créditos.
- Se ha cambiado toda la codificación de las texturas a ETC2 para una mejor compatibilidad en Android.
- Se ha cambiado por completo las texturas de las versiones doradas.
- Se ha mejorado la calidad de las cinemáticas en Android.
- Se ha ajustado la posición de la linterna del nivel 3 en Android.
- Se ha mejorado el color de la iluminación.
- Se ha reducido el consumo de RAM, CPU y GPU del juego.
- Se ha eliminado la opción de ""Escalado de pantalla"" ja que tenemos una configuración para cada calidad en Android.
- Se ha reorganizado los botones del menú principal.
- Se han eliminado archivos, basura y plug-ins innecesarios.
- Se han eliminado los consejos de las pantallas de carga.
- Se han cambiado las pantallas de carga.
- Se han activado las texturas emisivas para Android.
- Se han reajustado la posición de la cámara del jugador en algunos ""Jumpscares"".
- Arreglado error el cual crasheaba a la hora de darle a ""Nueva Partida"".
- Arreglado error el cual provocaba que no se aplicaran correctamente las configuraciones.
- Arreglado error el cual provocaba que al terminar algún sonido se escuchara una pequeña distorsión.
- Arreglado error a la hora de comprobar la versión más reciente.
- Arregladas iteraciones con los postes del nivel 1 los cuales podías tocar durante la cinemática."
